date,accident_type,plane_type,operator,fatalities,category,first_flight,phase,nature
04-JUL-1948,Collision - Aircraft - In flight,Avro 685 York C.1,RAF,7,A1,,En route (ENR),Military
05-AUG-1948,Collision - Aircraft - In flight,Douglas R4D-6 (DC-3),US Navy,10,A1,1944,Approach (APR),Military
24-AUG-1948,Collision - Aircraft - In flight,Douglas C-47A (DC-3),USAF,2,A1,1944,En route (ENR),Military
24-AUG-1948,Collision - Aircraft - In flight,Douglas C-47A (DC-3),USAF,2,A1,1944,En route (ENR),Military
24-AUG-1948,Collision - Aircraft - In flight,Douglas C-47 (VC-117B) (DC-3),USAF,9,A1,1945,En route (ENR),Military
23-DEC-1948,Collision - Aircraft - In flight,Ilyushin Il-12B,Aeroflot / Uzbekistan,4,A1,1948,En route (ENR),Ferry/positioning
23-DEC-1948,Collision - Aircraft - In flight,Douglas TS-62 (DC-3),Aeroflot / Moscow,8,A1,1944,En route (ENR),Ferry/positioning
30-JAN-1949,Collision - Aircraft - In flight,Lockheed L-749 Constellation,Pan Am,0,A2,,En route (ENR),International Scheduled Passenger
19-FEB-1949,Collision - Aircraft - In flight,Douglas C-47A (DC-3),BEA,10,A1,1944,En route (ENR),Domestic Scheduled Passenger
30-JUL-1949,Collision - Aircraft - In flight,Douglas DC-3-201D,Eastern Air Lines,15,A1,1940,En route (ENR),Domestic Scheduled Passenger
07-AUG-1949,Collision - Aircraft - In flight,Douglas DC-3A,Capital Airlines,0,A2,1943,Approach (APR),Domestic Scheduled Passenger
01-NOV-1949,Collision - Aircraft - In flight,Douglas C-54B (DC-4),Eastern Air Lines,55,A1,1944,Approach (APR),Domestic Scheduled Passenger
25-APR-1951,Collision - Aircraft - In flight,Douglas DC-4,Cubana,39,A1,1944,En route (ENR),International Scheduled Passenger
03-JUN-1951,Collision - Aircraft - In flight,Fairchild C-119C Flying Boxcar,USAF,6,C1,,Maneuvering (MNV),Military
03-JUN-1951,Collision - Aircraft - In flight,Fairchild C-119B Flying Boxcar,USAF,4,C1,,Maneuvering (MNV),Military
09-NOV-1951,Collision - Aircraft - In flight,Douglas DC-3C,West Coast Airlines,0,A2,,Approach (APR),Domestic Scheduled Passenger
17-NOV-1951,Collision - Aircraft - In flight,Douglas C-54D (DC-4),ONA,3,A1,1945,Approach (APR),Training
17-NOV-1951,Collision - Aircraft - In flight,Douglas DC-4,California Eastern,0,A2,1944,Approach (APR),Training
27-NOV-1951,Collision - Aircraft - In flight,Douglas DC-3-201C,Eastern Air Lines,0,A2,1940,Approach (APR),Domestic Scheduled Passenger
15-MAR-1952,Collision - Aircraft - In flight,Convair CV-240-23,Garuda,0,A2,,Unknown (UNK),Unknown
15-MAR-1952,Collision - Aircraft - In flight,Douglas C-47A (DC-3),Garuda,0,A2,1944,Unknown (UNK),Unknown
09-APR-1952,Collision - Aircraft - In flight,Douglas VC-47A (DC-3),USAF,10,A1,1944,En route (ENR),Military
28-JUN-1952,Collision - Aircraft - In flight,Douglas DC-6,American Airlines,0,A2,,Approach (APR),Domestic Scheduled Passenger
05-OCT-1952,Collision - Aircraft - In flight,Ilyushin Il-12,Aeroflot / Northern,24,A1,1948,Approach (APR),Domestic Scheduled Passenger
05-OCT-1952,Collision - Aircraft - In flight,Douglas TS-62 (DC-3),Aeroflot / Northern,7,A1,1945,En route (ENR),Domestic Scheduled Passenger
17-OCT-1952,Collision - Aircraft - In flight,Douglas DC-3,California Air Charter,0,A2,,Maneuvering (MNV),"Aerial Work (Calibration, Photo)"
25-NOV-1952,Collision - Aircraft - In flight,Vickers Valetta C.1,RAF,0,A1,1949-03-22,Approach (APR),Military
15-DEC-1952,Collision - Aircraft - In flight,Douglas DC-3A-269,Lake Central Airlines,0,A2,1939,Landing (LDG),Domestic Scheduled Passenger
15-JAN-1953,Collision - Aircraft - In flight,Vickers Valetta C.1,RAF,19,A1,1950,En route (ENR),Military
23-JAN-1953,Collision - Aircraft - In flight,Lisunov Li-2,Aeroflot / Northern,5,A1,,Approach (APR),Cargo
23-JAN-1953,Collision - Aircraft - In flight,Ilyushin Il-12,Aeroflot / West Siberia,6,A1,,Initial climb (ICL),Cargo
15-MAY-1953,Collision - Aircraft - In flight,Fairchild C-119C Flying Boxcar,USAF,6,A1,,En route (ENR),Military
15-MAY-1953,Collision - Aircraft - In flight,Fairchild C-119C Flying Boxcar,USAF,2,A1,,En route (ENR),Military
27-MAY-1953,Collision - Aircraft - In flight,Lisunov Li-2T,Aeroflot / East Siberia,7,A1,,En route (ENR),Survey/research
27-MAY-1953,Collision - Aircraft - In flight,Lisunov Li-2,Aeroflot / East Siberia,20,A1,,En route (ENR),Domestic Scheduled Passenger
10-JUL-1953,Collision - Aircraft - In flight,Douglas C-47D (DC-3),USAF,10,A1,1944,Approach (APR),Military
26-AUG-1953,Collision - Aircraft - In flight,Convair CV-240-0,American Airlines,0,A2,,En route (ENR),Domestic Scheduled Passenger
26-AUG-1953,Collision - Aircraft - In flight,Convair CV-340-31,United Airlines,0,A2,,En route (ENR),Domestic Scheduled Passenger
26-SEP-1953,Collision - Aircraft - In flight,PBV-1A Canso A (PBY-5A),Texaco,4,A1,1943,En route (ENR),Unknown
12-NOV-1953,Collision - Aircraft - In flight,Junkers Ju-52/3msai,LADE,13,A1,1938,Approach (APR),Military
08-APR-1954,Collision - Aircraft - In flight,Canadair C-4-1 North Star,TCAL,35+ 1,A1,,En route (ENR),Domestic Scheduled Passenger
27-JUN-1954,Collision - Aircraft - In flight,Convair CV-240-0,American Airlines,0,A2,,Approach (APR),Domestic Scheduled Passenger
11-JAN-1955,Collision - Aircraft - In flight,Avro Shackleton MR.2,RAF,9,A1,1952-08-21,En route (ENR),Military
11-JAN-1955,Collision - Aircraft - In flight,Avro Shackleton MR.2,RAF,9,A1,1953,En route (ENR),Military
12-JAN-1955,Collision - Aircraft - In flight,Martin 2-0-2A,TWA,13,A1,1950,En route (ENR),Domestic Scheduled Passenger
12-JAN-1955,Collision - Aircraft - In flight,Douglas C-47 (DC-3),Castleton Inc,2,A1,1942,En route (ENR),Executive
25-JUN-1955,Collision - Aircraft - In flight,Douglas C-47 (DC-3),Indian AF,11,A1,,Unknown (UNK),Military
25-JUN-1955,Collision - Aircraft - In flight,Douglas C-47 (DC-3),Indian AF,8,A1,,Unknown (UNK),Military
12-JUL-1955,Collision - Aircraft - In flight,Douglas C-47 (DC-3),TWA,0,A2,1943,En route (ENR),Training
10-AUG-1955,Collision - Aircraft - In flight,Fairchild C-119G Flying Boxcar,USAF,19,A1,,En route (ENR),Military
10-AUG-1955,Collision - Aircraft - In flight,Fairchild C-119G Flying Boxcar,USAF,47,A1,,En route (ENR),Military
29-AUG-1955,Collision - Aircraft - In flight,Douglas DC-3-191A,Continental Air Lines,0,A2,1938,Approach (APR),Domestic Scheduled Passenger
05-SEP-1955,Collision - Aircraft - In flight,Douglas C-49E (DC-3),LAB,0,A2,1936,En route (ENR),Scheduled Passenger
25-JAN-1956,Collision - Aircraft - In flight,Nord 2501 Noratlas,French AF,3,A1,1954,Unknown (UNK),Military
25-JAN-1956,Collision - Aircraft - In flight,Nord 2501 Noratlas,French AF,3,A1,1955,Unknown (UNK),Military
30-JUN-1956,Collision - Aircraft - In flight,Douglas DC-7,United Airlines,58,A1,1955,En route (ENR),Domestic Scheduled Passenger
30-JUN-1956,Collision - Aircraft - In flight,Lockheed L-1049-54-80 Super Constel,TWA,70,A1,1952,En route (ENR),Domestic Scheduled Passenger
09-SEP-1956,Collision - Aircraft - In flight,Douglas DC-3A-453,Continental Air Lines,0,A2,1942,En route (ENR),Domestic Scheduled Passenger
25-DEC-1956,Collision - Aircraft - In flight,Convair CV-240-5,PIA,0,A2,,Approach (APR),International Scheduled Passenger
31-JAN-1957,Collision - Aircraft - In flight,Douglas DC-7B,Douglas,4+ 3,A1,1957-01-31,En route (ENR),Test
26-FEB-1957,Collision - Aircraft - In flight,Douglas C-47D (DC-3),USAF,3,A1,1945,Unknown (UNK),Military
11-JUN-1957,Collision - Aircraft - In flight,Douglas C-47B (DC-3),Turkish AF,5,A1,1945,Unknown (UNK),Military
17-AUG-1957,Collision - Aircraft - In flight,Ilyushin Il-14M,Aeroflot / Ukraine,5,A1,,Approach (APR),Cargo
17-AUG-1957,Collision - Aircraft - In flight,Ilyushin Il-14D,Aeroflot / Ukraine,4+ 6,A1,,Approach (APR),Training
01-FEB-1958,Collision - Aircraft - In flight,Lockheed P2V-5F Neptune,US Navy,6,A1,,Initial climb (ICL),Military
01-FEB-1958,Collision - Aircraft - In flight,Douglas C-118A (DC-6),USAF,41+ 1,A1,1955,En route (ENR),Military
27-MAR-1958,Collision - Aircraft - In flight,Douglas C-124C Globemaster II,USAF,15,A1,,En route (ENR),Military
27-MAR-1958,Collision - Aircraft - In flight,Fairchild C-119C Flying Boxcar,USAF,3,A1,,En route (ENR),Military
21-APR-1958,Collision - Aircraft - In flight,Douglas DC-7,United Airlines,47,A1,1956,En route (ENR),Domestic Scheduled Passenger
20-MAY-1958,Collision - Aircraft - In flight,Vickers 745D Viscount,Capital Airlines,11,A1,1956,En route (ENR),Domestic Scheduled Passenger
19-SEP-1958,Collision - Aircraft - In flight,Lockheed C-130A Hercules,USAF,6,A1,1957,En route (ENR),Military
22-OCT-1958,Collision - Aircraft - In flight,Vickers 701C Viscount,BEA,31,A1,1954-12-01,En route (ENR),International Scheduled Passenger
15-OCT-1959,Collision - Aircraft - In flight,Boeing KC-135A Stratotanker,USAF,4,A1,1958-12-08,En route (ENR),Military
14-DEC-1959,Collision - Aircraft - In flight,Boeing KC-97G Stratofreighter,USAF,0,A1,,En route (ENR),Military
22-DEC-1959,Collision - Aircraft - In flight,Vickers 827 Viscount,VASP,32+ 10,A1,1959,Approach (APR),Domestic Scheduled Passenger
29-JAN-1960,Collision - Aircraft - In flight,Douglas R4D-1 (DC-3),PIA,0,A2,1942,Approach (APR),Ferry/positioning
25-FEB-1960,Collision - Aircraft - In flight,Douglas C-47A (DC-3),REAL,26,A1,1944,Approach (APR),Domestic Scheduled Passenger
25-FEB-1960,Collision - Aircraft - In flight,Douglas R6D-1 (DC-6),US Navy,35,A1,1953,Approach (APR),Int'l Non Scheduled Passenger
20-APR-1960,Collision - Aircraft - In flight,Fairchild F-27,Piedmont Airlines,0,A2,,Approach (APR),Domestic Scheduled Passenger
19-MAY-1960,Collision - Aircraft - In flight,SE-210 Caravelle IA,Air Algérie,1,A2,1960,Approach (APR),International Scheduled Passenger
07-JUL-1960,Collision - Aircraft - In flight,Vickers Varsity T.1,RAF,6,A1,1952,Unknown (UNK),Military
01-OCT-1960,Collision - Aircraft - In flight,Martin 4-0-4,Eastern Air Lines,0,A2,,Approach (APR),Domestic Scheduled Passenger
04-OCT-1960,Collision - Aircraft - In flight,Curtiss C-46F,Capitol Airways,0,A2,1945,Approach (APR),Cargo
17-NOV-1960,Collision - Aircraft - In flight,Douglas DC-6,United Airlines,0,A2,1947,Approach (APR),Domestic Scheduled Passenger
16-DEC-1960,Collision - Aircraft - In flight,Douglas DC-8-11,United Airlines,84+ 6,A1,1959,Approach (APR),Domestic Scheduled Passenger
16-DEC-1960,Collision - Aircraft - In flight,Lockheed L-1049 Super Constellation,TWA,44,A1,1952,Approach (APR),Domestic Scheduled Passenger
08-JUN-1962,Collision - Aircraft - In flight,Lockheed 18 Lodestar,Winn-Dixie Stores,4,A1,1943,En route (ENR),Executive
30-JUN-1962,Collision - Aircraft - In flight,Douglas DC-4-1009,South African Airways,0,A2,1947,Unknown (UNK),Domestic Scheduled Passenger
26-NOV-1962,Collision - Aircraft - In flight,SAAB Scandia 90A-1,VASP,23,A1,1951,En route (ENR),Domestic Scheduled Passenger
01-FEB-1963,Collision - Aircraft - In flight,Vickers 754D Viscount,MEA,14+ 87,A1,1957-11-24,Approach (APR),International Scheduled Passenger
01-FEB-1963,Collision - Aircraft - In flight,Douglas C-47A (DC-3),Turkish AF,3,A1,1944,En route (ENR),Military
28-AUG-1963,Collision - Aircraft - In flight,Boeing KC-135A Stratotanker,USAF,6,A1,1962-09-06,En route (ENR),Military
28-AUG-1963,Collision - Aircraft - In flight,Boeing KC-135A Stratotanker,USAF,5,A1,1962-09-17,En route (ENR),Military
29-JUN-1964,Collision - Aircraft - In flight,Douglas HC-54D (DC-4),USAF,7,A1,1945,En route (ENR),Military
29-JUN-1964,Collision - Aircraft - In flight,Boeing KC-97G Stratofreighter,USAF,10,A1,,En route (ENR),Military
08-JUL-1964,Collision - Aircraft - In flight,Boeing KC-135A Stratotanker,USAF,4,A1,1961-03-14,En route (ENR),Military
31-OCT-1964,Collision - Aircraft - In flight,CV-2B Caribou,US Army,3,A1,1964,En route (ENR),Military
31-OCT-1964,Collision - Aircraft - In flight,CV-2B Caribou,US Army,3,A1,1964,En route (ENR),Military
09-DEC-1964,Collision - Aircraft - In flight,Morane Saulnier (FMA) MS.760 Paris,Argentine AF,2,A1,1962,En route (ENR),Military
26-FEB-1965,Collision - Aircraft - In flight,Boeing KC-135A Stratotanker,USAF,4,A1,1964-08-18,En route (ENR),Military
25-MAR-1965,Collision - Aircraft - In flight,T-39A Sabreliner,USAF,2,A1,,Unknown (UNK),Military
25-MAR-1965,Collision - Aircraft - In flight,Douglas C-47 (DC-3),USAF,5,A1,,Unknown (UNK),Military
13-MAY-1965,Collision - Aircraft - In flight,Nord 2501D Noratlas,German AF,0,A2,,Approach (APR),Military
10-SEP-1965,Collision - Aircraft - In flight,Douglas C-47A (DC-3),Central American Airways,0,A2,1944,Unknown (UNK),Cargo
17-OCT-1965,Collision - Aircraft - In flight,Douglas DC-3 Hiper,Avianca,15,A1,1942,Approach (APR),Domestic Scheduled Passenger
04-DEC-1965,Collision - Aircraft - In flight,Boeing 707-131B,TWA,0,A2,1962-04-14,Approach (APR),Domestic Scheduled Passenger
04-DEC-1965,Collision - Aircraft - In flight,Lockheed L-1049C Super Constellatio,Eastern Air Lines,4,A1,1953,En route (ENR),Domestic Scheduled Passenger
01-JAN-1966,Collision - Aircraft - In flight,Douglas C-47A (DC-3),Garuda,17,A1,1944,En route (ENR),Domestic Scheduled Passenger
01-JAN-1966,Collision - Aircraft - In flight,Douglas C-47A (DC-3),Garuda,17,A1,1944,En route (ENR),Domestic Scheduled Passenger
13-JAN-1966,Collision - Aircraft - In flight,Fairchild C-123B Provider,USAF,6,A1,,Maneuvering (MNV),Military
17-JAN-1966,Collision - Aircraft - In flight,Boeing KC-135A Stratotanker,USAF,4,A1,1961-11-01,En route (ENR),Military
14-JUN-1966,Collision - Aircraft - In flight,Vickers Varsity T.1,RAF,1,A1,1951,Unknown (UNK),Military
16-JUN-1966,Collision - Aircraft - In flight,Curtiss C-46A,Zantop,2,A1,1945,En route (ENR),Cargo
22-FEB-1967,Collision - Aircraft - In flight,Douglas C-47A (DC-3),Union of Burma Airways,0,A2,1944,Unknown (UNK),Scheduled Passenger
22-FEB-1967,Collision - Aircraft - In flight,Douglas C-47A (DC-3),Union of Burma Airways,0,A2,1943,Unknown (UNK),Scheduled Passenger
09-MAR-1967,Collision - Aircraft - In flight,Douglas DC-9-15,TWA,25,A1,1967,En route (ENR),Domestic Scheduled Passenger
22-JUN-1967,Collision - Aircraft - In flight,Lockheed L-1049H Super Constellatio,Airlift Int.,7,A1,1958,Approach (APR),Cargo
19-JUL-1967,Collision - Aircraft - In flight,Boeing 727-22,Piedmont Airlines,79,A1,1963-05-22,En route (ENR),Domestic Scheduled Passenger
27-SEP-1967,Collision - Aircraft - In flight,Lockheed P-2H Neptune,US Navy,5,A1,,Unknown (UNK),Military
16-JAN-1968,Collision - Aircraft - In flight,Lockheed L-1329 JetStar I,German AF,0,A1,,Unknown (UNK),Military
21-JAN-1968,Collision - Aircraft - In flight,SE-210 Caravelle IA,Thai Airways,0,A2,,Maneuvering (MNV),"Aerial Work (Calibration, Photo)"
27-MAR-1968,Collision - Aircraft - In flight,Douglas DC-9-15,Ozark Air Lines,0,A2,1966,Approach (APR),Domestic Scheduled Passenger
12-JUN-1968,Collision - Aircraft - In flight,Boeing 727-22,United Airlines,0,A2,1967-10-25,En route (ENR),Domestic Scheduled Passenger
04-AUG-1968,Collision - Aircraft - In flight,Convair CV-580,North Central Airlines,0,A2,1958,Approach (APR),Domestic Scheduled Passenger
03-OCT-1968,Collision - Aircraft - In flight,C-7B Caribou,USAF,13,A1,1964,Initial climb (ICL),Military
13-DEC-1968,Collision - Aircraft - In flight,Fairchild C-123K Provider,USAF,6,A1,,En route (ENR),Military
13-DEC-1968,Collision - Aircraft - In flight,Douglas AC-47D Spooky,USAF,0,A1,1944,En route (ENR),Military
15-JAN-1969,Collision - Aircraft - In flight,Boeing 727-14,PSA,0,A2,1965-07-28,En route (ENR),Domestic Scheduled Passenger
06-FEB-1969,Collision - Aircraft - In flight,DC-9-15MC,Texas International,0,A2,1967,Approach (APR),Domestic Scheduled Passenger
18-MAY-1969,Collision - Aircraft - In flight,Lockheed KC-130F Hercules,USMC,6,A1,1962,En route (ENR),Military
03-JUN-1969,Collision - Aircraft - In flight,Antonov An-12,Soviet AF,7,A1,,Unknown (UNK),Military
03-JUN-1969,Collision - Aircraft - In flight,Antonov An-12,Soviet AF,7,A1,,Unknown (UNK),Military
23-JUN-1969,Collision - Aircraft - In flight,Ilyushin Il-14M,Aeroflot / Ukraine,24,A1,1957,En route (ENR),Domestic Scheduled Passenger
23-JUN-1969,Collision - Aircraft - In flight,Antonov An-12BP,Soviet AF,96,A1,,En route (ENR),Military
03-AUG-1969,Collision - Aircraft - In flight,Boeing 707-323C,American Airlines,0,A2,1967-09-15,En route (ENR),Training
21-AUG-1969,Collision - Aircraft - In flight,Vickers Varsity T.1,RAF,0,A1,1952,Unknown (UNK),Military
09-SEP-1969,Collision - Aircraft - In flight,DC-9-31,Allegheny Airlines,82,A1,1968,En route (ENR),Domestic Scheduled Passenger
20-SEP-1969,Collision - Aircraft - In flight,Douglas C-54D (DC-4),Air Vietnam,74+ 2,A1,1945,Approach (APR),Domestic Scheduled Passenger
01-OCT-1969,Collision - Aircraft - In flight,Antonov An-12,Soviet AF,6,A1,,Unknown (UNK),Military
14-DEC-1969,Collision - Aircraft - In flight,NAMC YS-11A-213,All Nippon,0,A2,,Unknown (UNK),Domestic Scheduled Passenger
01-MAR-1970,Collision - Aircraft - In flight,Vickers 757 Viscount,Air Canada,0,A2,,Approach (APR),Scheduled Passenger
01-APR-1970,Collision - Aircraft - In flight,Antonov An-24B,Aeroflot / West Siberia,45,A1,1967,En route (ENR),Domestic Scheduled Passenger
20-JUL-1970,Collision - Aircraft - In flight,Boeing 737-130,Condor Flugdienst,0,A2,1968-03-24,Approach (APR),International Scheduled Passenger
09-JAN-1971,Collision - Aircraft - In flight,Boeing 707-323C,American Airlines,0,A2,1967-08-03,Approach (APR),Domestic Scheduled Passenger
19-JAN-1971,Collision - Aircraft - In flight,Hawker Siddeley HS-121 Trident 3B,BEA,0,A2,,Landing (LDG),Training
06-JUN-1971,Collision - Aircraft - In flight,DC-9-31,Hughes Airwest,49,A1,1969,En route (ENR),Domestic Scheduled Passenger
30-JUL-1971,Collision - Aircraft - In flight,Boeing 727-281,All Nippon,162,A1,1971-03-02,En route (ENR),Domestic Scheduled Passenger
04-AUG-1971,Collision - Aircraft - In flight,Boeing 707-324C,Continental Air Lines,0,A2,1967-05-21,Approach (APR),Domestic Scheduled Passenger
01-SEP-1971,Collision - Aircraft - In flight,Consolidated PBY-5A Catalina,Field Aviation,2,A1,,Maneuvering (MNV),Fire fighting
01-SEP-1971,Collision - Aircraft - In flight,PBV-1A Canso (PBY-5A),Norcanair,2,A1,1943,Maneuvering (MNV),Fire fighting
04-DEC-1971,Collision - Aircraft - In flight,DC-9-31,Eastern Air Lines,0,A2,1968,Approach (APR),Domestic Scheduled Passenger
19-FEB-1972,Collision - Aircraft - In flight,Lockheed C-130E Hercules,USAF,5,A1,1963,Approach (APR),Military
29-JUN-1972,Collision - Aircraft - In flight,DHC-6 Twin Otter 100,Air Wisconsin,8,A1,1966,Approach (APR),Domestic Scheduled Passenger
29-JUN-1972,Collision - Aircraft - In flight,Convair CV-580,North Central Airlines,5,A1,1953,Approach (APR),Domestic Scheduled Passenger
29-JUL-1972,Collision - Aircraft - In flight,Douglas DC-3A,Avianca,17,A1,1943,En route (ENR),Domestic Scheduled Passenger
29-JUL-1972,Collision - Aircraft - In flight,Douglas DC-3A,Avianca,21,A1,1943,En route (ENR),Domestic Scheduled Passenger
23-OCT-1972,Collision - Aircraft - In flight,Antonov An-12BP,Soviet AF,20,A1,,Approach (APR),Military
23-OCT-1972,Collision - Aircraft - In flight,Antonov An-12BP,Soviet AF,7,A1,,Approach (APR),Military
05-DEC-1972,Collision - Aircraft - In flight,Lockheed C-130E-I Hercules,USAF,12,A1,1965,En route (ENR),Military
05-MAR-1973,Collision - Aircraft - In flight,Convair CV-990,Spantax,0,A2,1962,En route (ENR),Int'l Non Scheduled Passenger
05-MAR-1973,Collision - Aircraft - In flight,DC-9-32,Iberia,68,A1,1967,En route (ENR),International Scheduled Passenger
29-MAR-1973,Collision - Aircraft - In flight,Morane Saulnier (FMA) MS.760 Paris,Argentine AF,2,A1,1961,Unknown (UNK),Military
29-MAR-1973,Collision - Aircraft - In flight,Morane Saulnier (FMA) MS.760 Paris,Argentine AF,2,A1,1961,Unknown (UNK),Military
12-APR-1973,Collision - Aircraft - In flight,Convair CV-990,NASA,11,A1,1961,Approach (APR),Test
12-APR-1973,Collision - Aircraft - In flight,Lockheed P-3C Orion,US Navy,5,A1,1970,Approach (APR),Military
27-JUL-1973,Collision - Aircraft - In flight,Boeing 727-61,FAA,0,A2,1966-07-01,En route (ENR),Training
09-FEB-1974,Collision - Aircraft - In flight,T-39A Sabreliner,USAF,7,A1,,En route (ENR),Military
09-FEB-1974,Collision - Aircraft - In flight,Boeing NKC-135A,USAF,0,A2,1957-02-01,En route (ENR),Military
01-NOV-1974,Collision - Aircraft - In flight,Antonov An-2,Aeroflot / Tyumen,6,A1,1971,Approach (APR),Domestic Scheduled Passenger
04-DEC-1974,Collision - Aircraft - In flight,Antonov An-12B,Aeroflot / East Siberia,0,A1,1970,Unknown (UNK),Training
04-DEC-1974,Collision - Aircraft - In flight,Antonov An-2R,Aeroflot / East Siberia,13,A1,1961,Initial climb (ICL),Domestic Scheduled Passenger
09-JAN-1975,Collision - Aircraft - In flight,Convair T-29D (CV-240),USAF,7,A1,1954,Approach (APR),Military
09-JAN-1975,Collision - Aircraft - In flight,DHC-6 Twin Otter 100,Golden West Airlines,12,A1,1967,Approach (APR),Domestic Scheduled Passenger
26-MAR-1975,Collision - Aircraft - In flight,Douglas C-47A (DC-3),China Airlines,,A1,1944,En route (ENR),Unknown
18-MAR-1976,Collision - Aircraft - In flight,Antonov An-24B,Cubana,5,A1,1966,En route (ENR),Training
18-MAR-1976,Collision - Aircraft - In flight,Douglas DC-8-43,"Air Canada, op.for Cubana",0,A1,1961,Approach (APR),International Scheduled Passenger
09-SEP-1976,Collision - Aircraft - In flight,Antonov An-24RV,Aeroflot / Belarus,46,A1,1973,En route (ENR),Domestic Scheduled Passenger
09-SEP-1976,Collision - Aircraft - In flight,Yakovlev Yak-40,Aeroflot / North Kavkaz,18,A1,1970,En route (ENR),Domestic Scheduled Passenger
10-SEP-1976,Collision - Aircraft - In flight,Hawker Siddeley HS-121 Trident 3B,British Airways,63,A1,1972,En route (ENR),International Scheduled Passenger
10-SEP-1976,Collision - Aircraft - In flight,DC-9-32,Inex-Adria Aviopromet,113,A1,1976,En route (ENR),Int'l Non Scheduled Passenger
22-NOV-1976,Collision - Aircraft - In flight,MBB HFB-320ECM Hansa Jet,German AF,5,A1,1976-03-01,En route (ENR),Military
21-JAN-1977,Collision - Aircraft - In flight,Antonov An-12BK-PPS,Soviet AF,8,A1,,En route (ENR),Military
09-APR-1977,Collision - Aircraft - In flight,Nord 262A-27,Altair Airlines,3,A1,1968,Approach (APR),Ferry/positioning
07-MAY-1977,Collision - Aircraft - In flight,Antonov An-2,Aeroflot / Tyumen,,A1,,Unknown (UNK),Unknown
07-MAY-1977,Collision - Aircraft - In flight,Antonov An-2TP,Aeroflot / Uralsk,,A1,1963,Unknown (UNK),Ferry/positioning
01-FEB-1978,Collision - Aircraft - In flight,Antonov An-2TP,Aeroflot / Central Region,,A1,,Unknown (UNK),Unknown
01-MAR-1978,Collision - Aircraft - In flight,Fokker F-28 Fellowship 1000,Nigeria Airways,16,A1,1970-09-09,Approach (APR),Domestic Scheduled Passenger
18-MAY-1978,Collision - Aircraft - In flight,Dassault Falcon 20C,Flight Safety International,4,A1,1965,Approach (APR),Training
25-SEP-1978,Collision - Aircraft - In flight,Boeing 727-214,PSA,135+ 7,A1,1968-06-04,Approach (APR),Domestic Scheduled Passenger
17-FEB-1979,Collision - Aircraft - In flight,Boeing 707-321C,TMA,0,A2,1967-04-10,En route (ENR),Cargo
11-AUG-1979,Collision - Aircraft - In flight,Tupolev Tu-134A,Aeroflot / Moldova,94,A1,1974,En route (ENR),Domestic Scheduled Passenger
11-AUG-1979,Collision - Aircraft - In flight,Tupolev Tu-134AK,Aeroflot / Belarus,84,A1,1971,En route (ENR),Domestic Scheduled Passenger
06-AUG-1980,Collision - Aircraft - In flight,Fairchild F-27,Athens Leasing Corp.,0,A2,,En route (ENR),Executive
02-DEC-1980,Collision - Aircraft - In flight,Douglas C-54Q Skymaster (DC-4),"U.S. Forest Service, opb Waig Aircraft Inc.",2,A1,1944,En route (ENR),Ferry/positioning
02-DEC-1980,Collision - Aircraft - In flight,Douglas C-54G (DC-4),"U.S. Forest Service, opb Waig Aircraft Inc.",0,A2,1945,En route (ENR),Ferry/positioning
17-APR-1981,Collision - Aircraft - In flight,Handley Page HP-137 Jetstream III,Air US,13,A1,1969,En route (ENR),Domestic Scheduled Passenger
18-JUL-1981,Collision - Aircraft - In flight,Canadair CL-44D4-6,TAR,4,A1,1962-08-27,En route (ENR),Cargo
24-AUG-1981,Collision - Aircraft - In flight,Antonov An-24RV,Aeroflot / Far East,31,A1,1974,En route (ENR),Domestic Scheduled Passenger
18-SEP-1981,Collision - Aircraft - In flight,Yakovlev Yak-40,Aeroflot / East Siberia,33,A1,1974,Approach (APR),Domestic Scheduled Passenger
26-NOV-1981,Collision - Aircraft - In flight,Antonov An-2P,Aeroflot / Komi,15,A1,,En route (ENR),Domestic Scheduled Passenger
26-NOV-1981,Collision - Aircraft - In flight,Antonov An-2TP,Aeroflot / Komi,0,A2,,En route (ENR),Domestic Scheduled Passenger
13-MAR-1982,Collision - Aircraft - In flight,Boeing KC-135A Stratotanker,USAF,4,A1,1958-10-30,Approach (APR),Military
29-MAY-1982,Collision - Aircraft - In flight,Embraer EMB-110P1 Bandeirante,TAVINA,0,A1,1981,Takeoff (TOF),Domestic Scheduled Passenger
14-JUL-1982,Collision - Aircraft - In flight,Swearingen SA226-AT Merlin IV,South African AF,8,A1,1975,Unknown (UNK),Military
17-SEP-1982,Collision - Aircraft - In flight,Beech 200 Super King Air,Private,0,A2,1980,En route (ENR),Private
06-NOV-1982,Collision - Aircraft - In flight,Learjet 24D,Duncan Aviation,0,A1,,En route (ENR),Military
18-APR-1984,Collision - Aircraft - In flight,Embraer EMB-110EJ Bandeirante,VOTEC,18,A1,1976,Approach (APR),Domestic Scheduled Passenger
18-APR-1984,Collision - Aircraft - In flight,Embraer EMB-110P Bandeirante,VOTEC,1,A1,1976,Approach (APR),Domestic Scheduled Passenger
20-MAY-1984,Collision - Aircraft - In flight,Beech 1900C,Beechcraft,0,A2,1984,Unknown (UNK),Demonstration
23-NOV-1984,Collision - Aircraft - In flight,Transall C-160F,French AF,6,A1,1972-04-19,En route (ENR),Military
